,Latitude,Longitude,Temperature (F),Humidity,Wind Speed (mph),Cloudiness %
Mapastepec,15.44,-92.9,71.88,57,3.49,0
Lorengau,-2.02,147.27,84.39,100,5.39,32
Borogontsy,62.67,131.17,-32.89,58,3.71,56
Samarai,-10.62,150.67,87.0,98,5.5,8
Kiunga,-6.12,141.3,85.65,75,1.36,80
Cape Town,-33.93,18.42,64.4,93,14.99,75
Punta Arenas,-53.16,-70.91,48.2,70,17.22,75
Albany,42.65,-73.75,24.66,71,2.37,90
Grindavik,63.84,-22.43,41.85,81,24.16,75
Nchelenge,-9.35,28.74,65.62,100,3.38,64
Mataura,-46.19,168.86,69.58,61,11.1,56
Vaini,15.34,74.49,74.32,49,4.7,0
Biak,-0.91,122.88,83.8,90,2.37,64
Newport,51.59,-3.0,45.57,100,9.17,20
Berlevag,70.86,29.09,35.6,100,20.8,75
Hokitika,-42.72,170.96,63.73,100,5.95,44
Debre Tabor,11.86,38.01,51.4,84,3.04,20
Vanavara,60.35,102.28,-4.27,78,4.72,88
Busselton,-33.64,115.35,67.83,93,13.11,0
Kapaa,22.08,-159.32,76.17,76,21.92,75
Barrow,-38.31,-60.23,59.77,88,7.74,92
Miles City,46.41,-105.84,24.08,80,12.75,1
Jamestown,-33.21,138.6,85.6,37,9.75,36
Bourail,-21.57,165.5,82.23,55,3.15,68
Port Elizabeth,39.31,-74.98,30.42,69,6.93,1
Kalush,49.03,24.36,24.8,100,3.04,0
Ahuimanu,21.44,-157.84,75.11,87,11.41,75
New Norfolk,-42.78,147.06,75.2,44,19.46,20
Westport,53.8,-9.52,39.7,100,2.48,8
Bluff,-23.58,149.07,85.74,57,13.0,20
Husavik,50.56,-96.99,10.41,85,5.06,64
Thompson,55.74,-97.86,15.8,85,4.7,90
Swellendam,-34.02,20.44,64.4,77,1.12,68
Palmerston,43.83,-80.85,28.4,92,8.05,90
Sayyan,15.17,44.32,34.62,76,1.92,0
Sao Francisco de Paula,-29.45,-50.58,72.15,71,4.94,12
Camacha,33.08,-16.33,62.6,88,8.05,20
Puerto Ayora,-0.74,-90.35,74.62,100,10.2,48
Atuona,-9.8,-139.03,81.1,100,14.45,64
Hermanus,-34.42,19.24,53.34,97,4.5,12
Ushuaia,-54.81,-68.31,47.39,75,13.0,75
Belokurikha,52.0,84.99,-7.42,46,2.48,36
Touros,-5.2,-35.46,75.2,88,3.36,40
Fairbanks,64.84,-147.72,7.86,87,3.36,90
Sucua,-2.46,-78.17,63.1,89,3.49,44
Arraial do Cabo,-22.97,-42.02,76.02,91,15.12,24
Khatanga,71.98,102.47,-2.83,62,12.66,24
Severo-Kurilsk,50.68,156.12,28.23,100,15.68,12
Yabrud,33.97,36.66,48.2,81,14.99,0
Port Lincoln,-34.72,135.86,72.1,72,16.24,92
Saskylakh,71.97,114.09,8.25,80,15.68,44
Haifa,32.82,35.0,69.18,100,28.1,36
Kot Diji,27.34,68.71,51.22,94,3.38,0
Iberia,-11.41,-69.49,75.57,97,2.93,24
Pangnirtung,66.15,-65.72,-17.63,75,6.73,0
Harper,30.3,-99.24,45.45,79,3.36,1
Mahebourg,-20.41,57.7,82.4,74,11.41,40
Hobart,-42.88,147.33,75.2,44,19.46,20
San Rafael del Sur,11.85,-86.44,77.0,83,6.93,40
Umm Lajj,25.02,37.27,58.6,100,7.96,0
Itarema,-2.92,-39.92,75.07,94,7.96,0
Le Pradet,46.44,1.83,35.6,93,8.05,92
Tuatapere,-46.13,167.69,60.58,84,8.52,20
Hazorasp,41.32,61.08,30.2,100,9.17,90
Maracaibo,3.41,-75.78,59.64,92,1.14,20
Cidreira,-30.17,-50.22,76.02,77,9.64,12
Shakawe,-18.36,21.84,69.63,47,10.42,0
Tuktoyaktuk,69.44,-133.03,-7.61,83,21.92,90
Mar del Plata,-46.43,-67.52,61.98,55,6.4,44
Buala,-8.15,159.59,87.99,78,6.4,48
Savannakhet,16.57,104.76,78.8,54,4.7,75
Rikitea,-23.12,-134.97,76.56,100,15.79,88
